정제: 거기 비쌀까요??	거기 비쌀까요??
정제: 33만원	33만원
정제: 여기는17마넝	여기는 17만원
정제: 밑에가 훨 싸네요	밑에가 훨씬 싸네요.
정제: 저기도 가깝지 않아요!!	저기도 가깝지 않아요!!
정제: 하루 17만원 인거죠?	하루 17만 원인 거죠?
정제: 밑에꺼 해욧!!	밑에 꺼 해요!!
정제: 응응 두번째보다는 멀지망 가까운편	응응, 두 번째보다는 멀지만 가까운 편.
정제: 오키	오케이
정제: 두근두근해요	두근두근해요.
정제: Durls여긴별론가위치가??	Durls 여긴 별로인가 위치가??
정제: 시설이 여기가 더 좋다구하가지구	시설이 여기가 더 좋다고 해가지고.
정제: 오진짜요?	오, 진짜요?
정제: 얼마 차이도 안나는데 괜찮을거 같아요	얼마 차이도 안 나는데 괜찮을 거 같아요.
정제: 나 결저앻ㅆ어	나 결제했어
정제: 모를?	뭐를?
정제: 나 요번달에 돈 남으면	나 요번 달에 돈 남으면
정제: 현질할꺼야	현질 할 거야
정제: 우와	우와.
정제: 뭐 사게?	뭐 살까요?
정제: 이걸루	이걸로
정제: 나도 이걸루 사고싶어 ㅠㅠㅠ	나도 이걸로 사고 싶어 ㅠㅠㅠ.
정제: 근데 일단 공작마리드?	근데 일단 공작 마리드?
정제: 안나오면	안 나오면
정제: 다음시즌 버틴다	다음 시즌 버틴다.
정제: 존버존버	존버 존버.
정제: 황금 마차.그것두	황금 마차. 그것도
정제: 난 이걸루...	난 이걸로...
정제: 존버존버	존버 존버
정제: 너도 마리드 안나오면 포기햇	너도 마리드 안 나오면 포기했어.
정제: 그거 사ㄱ 봉황?	그거 사 봉황?
정제: 엉엉	어어
정제: ㅠㅠ	ㅠㅠ
정제: 베라드실?	베라드 실?
정제: 3000원 할인하는ㄷ	3000원 할인하는데.
정제: 얼만디	얼만데.
정제: 정가에서	정거에서
정제: 3천원빼면됌	3천 원 빼면 됨.
정제: 베달?	베달?
정제: 배달비무료	배달비 무료
정제: 배달?	배달?
정제: ㅇㅇ	응응
정제: 나 버즈 케이스	나 버즈 케이스.
정제: 엉	어
정제: 맘에 안드는걸사면	맘에 안 들면 걸 사면.
정제: 나중에 또 사고 또 사는	나중에 또 사고 또 사는.
정제: 지옥에 갇힐까	지옥에 갇힐까.
정제: 사실 마음에 드는거 사도 사고 또 사고 그래,,,,,,,	사실 마음에 드는 거 사도 사고 또 사고 그래,,,,,,,
정제: 지금 이거 가격의 메리트 못참는즁	지금 이거 가격의 메리트 못 참는 중.
정제: 근데 디즈니 케이스 못생겻서	근데 디즈니 케이스 못생겼어.
정제: 응...나도 알아 ㅠ	응... 나도 알아 ㅠ.
정제: 그냥 그 돈 아껴서 더 예쁜거 사라	그냥 그 돈 아껴서 더 예쁜 거 사라.
정제: 메탈파우더를 삿읍니다	메탈파우더를 샀습니다.
정제: 니 왜새 왜 네일에 꽂혔어??	니 왜 네일에 꽂혔어??
정제: ㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 아니	아니
정제: 양손을해야지	양손을 해야지
정제: 왜자꾸한손만하냐고	왜 자꾸 한손만 하냐고.
정제: ㅋㅋ	ㅋㅋ
정제: ㅋㅋㅋㅋ오호라 사쓰다가	ㅋㅋㅋㅋ 오호라 사서 쓰다가
정제: 그래 ㅋㅋㅋㅋ	그래 ㅋㅋㅋㅋ.
정제: 유튜브를 봤는데	유튜브를 봤는데
정제: 왠지 할수 있을거 같두라고	왠지 할 수 있을 거 같더라고.
정제: 그치맘 개 어렵다	그치만 개 어렵다.
정제: #@URL#	#@URL#
정제: 이거 하나 추가했어	이거 하나 추가했어.
정제: 혹시몰라서 2개 샀어	혹시 몰라서 2개 샀어.
정제: #@이름# 혹시 에코백 있뉘?	#@이름# 혹시 에코백 있니?
정제: 아뉘아뉭	아니아니
정제: 덥지 않나?	덥지 않나?
정제: 저건 완전 겨울용이야	저건 완전 겨울용이야.
정제: 겨울에	겨울에
정제: 축구할떄	축구할 때
정제: 너무 추워서	너무 추워서.
정제: 세일할떄 미리 샀어	세일할 때 미리 샀어.
정제: 아아	아아.
정제: #@이름#축구하러 가니?	#@이름# 축구하러 가니?
정제: 냐슈	냐슈.
정제: 야수	야수.
정제: 한국투자는 2천원의 청약 수수료가 붙는댕	한국투자는 2천원의 청약 수수료가 붙는대.
정제: 한국투자랑 농협에서 해야지	한국투자랑 농협에서 해야지.
정제: 건당이야??	건당이야??
정제: 청약 1건당??	청약 1건당?
정제: 응	응
정제: ㅜㅜㅜㅜㅜ이따가전화해보자ㅠㅠㅠㅠ	ㅜㅜㅜㅜㅜ이따가 전화해보자ㅠㅠㅠㅠ.
정제: #@이모티콘# 이제야 올린 나시인데 저따구면 어떡해야하지	#@이모티콘# 이제야 올린 나시인데 저따구면 어떡해야 하지.
정제: ㅠㅠㅠㅠㅠㅠ생각도못한 변수가 너무많다무서어	ㅠㅠㅠㅠㅠㅠ 생각도 못한 변수가 너무 많다 무서워.
정제: ㅜㅜㅜㅜㅜ	ㅜㅜㅜㅜㅜ
정제: #@이모티콘# 친구꺼 오늘 배송 안되겠다...	#@이모티콘# 친구꺼 오늘 배송 안 되겠다...
정제: 어쩌면좋아ㅠㅠㅠㅠ대체왜그러는거지ㅜㅜㅜㅜㅜㅜㅜㅜ	어쩌면 좋아ㅠㅠㅠㅠ 대체 왜 그러는 거지ㅜㅜㅜㅜㅜㅜㅜㅜ.
정제: ㅜㅜㅜㅜㅜㅜㅜ우리아무것도잘못한거없는데	ㅠㅠㅠㅠㅠㅠㅠ 우리 아무것도 잘못한 거 없는데
정제: ㅠㅠㅠ	ㅠㅠㅠ
정제: #@이모티콘# 너무 무서워	#@이모티콘# 너무 무서워.
정제: #@이모티콘# 신입이 얼굴 안비추고 사입삼촌 써서 문제인건가	#@이모티콘# 신입이 얼굴 안 비추고 사입 삼촌 써서 문제인 건가.
정제: #@이모티콘# 지금은전화도안받을테고 우째	이모티콘 지금은 전화도 안 받을 테고 어쩌지.
정제: 아나	아나.
정제: 정말그거라면	정말 그거라면.
정제: 별걸다갖고지랄이다	별 걸 다 갖고 지랄이다.
정제: #@이모티콘# 어쩌면 좋아	#@이모티콘# 어쩌면 좋아.
정제: #@이모티콘# 이따가같이전화해보자	#@이모티콘# 이따가 같이 전화해보자.
정제: #@이모티콘# (덜덜)	#@이모티콘# (덜덜)
정제: #@이름#을 이기고싶다	#@이름#을 이기고 싶다.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 더 인터넷서핑에 정진해야겠다	더 인터넷 서핑에 정진해야겠다.
정제: #@이모티콘#	#@이모티콘#
정제: ㅋㅋㅋㅋㅋ아니 걔는	ㅋㅋㅋㅋㅋ 아니 걔는.
정제: 내 전자기기를 책임지고잇어서	내 전자기기를 책임지고 있어서
정제: 그런거 다 대답해주거 다 해주거그래서	그런 거 다 대답해주고 다 해주기 그래서.
정제: 척척박사야	척척 박사야.
정제: ㅁㅎ기탈출ㅋㅋㅋㅋㅋ	ㅁㅎ 기탈출 ㅋㅋㅋㅋㅋㅋ
정제: 그 파트도 좀 더 공부해야겟군	그 파트도 좀 더 공부해야겠군.
정제: 전자기기 신제품 나오면 유튜브 리뷰 찾아보긴하는데	전자기기 신제품 나오면 유튜브 리뷰 찾아보긴 하는데.
정제: 핸드폰쪽에 좀 집중되어있긴하지..	핸드폰 쪽에 좀 집중되어 있긴 하지..
정제: 그마저도 내가 폰 바꾸고 난 이후엔 좀 시들해졌어	그마저도 내가 폰 바꾸고 난 이후엔 좀 시들해졌어.
정제: 드디어 돌아오는 목요일에 일본간당 크아아앙	드디어 돌아오는 목요일에 일본 간다 크아아앙.
정제: #@이름# 키스미 롱앤컬만 사다주면돼?	#@이름# 키스미 롱앤컬만 사다주면 돼?
정제: 한개?	한 개?
정제: 한개라니....	한 개라니....
정제: 모르겟어	모르겠어
정제: ㅋㅋㅋㅋ욕심나는데	ㅋㅋㅋㅋ 욕심나는데.
